id,attributes/0/trait_type,attributes/0/value,attributes/1/trait_type,attributes/1/value,attributes/2/trait_type,attributes/2/value,attributes/3/trait_type,attributes/3/value,attributes/4/trait_type,attributes/4/value,attributes/5/trait_type,attributes/5/value
1,Planet,Ozara South,Object,Golden Hammer,Rarity,3,Inhabitant,Lusan M,Light,Noonlight,Weather,Clear
2,Planet,Ozara South,Object,Ancient Lusan Trident,Rarity,7,Inhabitant,Ozaran M,Light,Noonlight,Weather,Clear
3,Planet,Ozara North,Object,Pampan Grass Sword,Rarity,27,Inhabitant,Lusan M,Light,Clear,Weather,Desert winds
4,Planet,Ozara North,Object,Minasan Ore Sword,Rarity,23,Inhabitant,Cristallian M,Light,Ozaran sun,Weather,Clear
5,Planet,Ozara South,Object,Cruthan Death Mace,Rarity,5,Inhabitant,Sindarin F,Light,Bright,Weather,Clear
6,Planet,Ozara South,Object,Lusan Water Saber,Rarity,26,Inhabitant,Cristallian F,Light,Noonlight,Weather,Clear
7,Planet,Ozara North,Object,Minasan Bow,Rarity,18,Inhabitant,Minasan F,Light,Ozaran sun,Weather,Desert dust
8,Planet,Ozara North,Object,Sindarin Fire Bow,Rarity,20,Inhabitant,Gredican F,Light,Noonlight,Weather,Clear
9,Planet,Ozara North,Object,Battle Shovel,Rarity,2,Inhabitant,Minasan F,Light,Noonlight,Weather,Clear
10,Planet,Ozara South,Object,Ozaran Death Saber,Rarity,24,Inhabitant,Zandoan F,Light,Clear,Weather,Desert dust
11,Planet,Ozara North,Object,Lusan Water Staff,Rarity,10,Inhabitant,Cruthan F,Light,Ozaran sun,Weather,Desert dust
12,Planet,Ozara North,Object,Cruthan Death Mace,Rarity,5,Inhabitant,Lusan M,Light,Bright,Weather,Desert dust
13,Planet,Ozara South,Object,Minasan Bow,Rarity,18,Inhabitant,Gredican F,Light,Clear,Weather,Desert winds
14,Planet,Ozara South,Object,The Eternal Torch,Rarity,4,Inhabitant,Lusan F,Light,Ozaran sun,Weather,Clear
15,Planet,Ozara South,Object,The Eternal Torch,Rarity,4,Inhabitant,Gredican M,Light,Clear,Weather,Clear
16,Planet,Ozara South,Object,Phoenix Rising,Rarity,40,Inhabitant,Zandoan M,Light,Ozaran sun,Weather,Clear
17,Planet,Ozara South,Object,Gredican Sword,Rarity,28,Inhabitant,Minasan M,Light,Clear,Weather,Clear
18,Planet,Ozara South,Object,Gredican Power Staff,Rarity,17,Inhabitant,Lusan M,Light,Clear,Weather,Clear
19,Planet,Ozara South,Object,Sindarin Fire Saber,Rarity,39,Inhabitant,Pampan F,Light,Clear,Weather,Clear
20,Planet,Ozara North,Object,Minasan Ore Staff,Rarity,9,Inhabitant,Kitan F,Light,Noonlight,Weather,Clear
21,Planet,Ozara North,Object,Ozaran Bone Axe,Rarity,6,Inhabitant,Kitan F,Light,Ozaran sun,Weather,Desert dust
22,Planet,Ozara South,Object,Kitan Ice Staff,Rarity,11,Inhabitant,Gredican F,Light,Clear,Weather,Clear
23,Planet,Ozara South,Object,Battle Axe,Rarity,1,Inhabitant,Cristallian M,Light,Ozaran sun,Weather,Clear
24,Planet,Ozara North,Object,Staff of Zando,Rarity,16,Inhabitant,Zandoan M,Light,Ozaran sun,Weather,Desert dust
25,Planet,Ozara South,Object,Cristallian Staff,Rarity,12,Inhabitant,Sindarin F,Light,Clear,Weather,Desert dust
26,Planet,Ozara South,Object,Ancient Lusan Trident,Rarity,7,Inhabitant,Cristallian M,Light,Noonlight,Weather,Desert winds
27,Planet,Ozara North,Object,Golden Hammer,Rarity,3,Inhabitant,Pampan F,Light,Ozaran sun,Weather,Clear
28,Planet,Ozara South,Object,Cristallian Ray Gun,Rarity,33,Inhabitant,Cristallian M,Light,Ozaran sun,Weather,Clear
29,Planet,Ozara North,Object,Ancient Lusan Trident,Rarity,7,Inhabitant,Ozaran M,Light,Bright,Weather,Clear
30,Planet,Ozara South,Object,Ozaran Bone Axe,Rarity,6,Inhabitant,Pampan F,Light,Ozaran sun,Weather,Desert dust
31,Planet,Ozara North,Object,Ozaran Sand Staff,Rarity,13,Inhabitant,Lusan M,Light,Clear,Weather,Clear
32,Planet,Ozara South,Object,Cruthan Death Mace,Rarity,5,Inhabitant,Minasan M,Light,Clear,Weather,Desert dust
33,Planet,Ozara North,Object,Royal Ozaran Bow,Rarity,22,Inhabitant,Sindarin F,Light,Ozaran sun,Weather,Clear
34,Planet,Ozara North,Object,Kitan Ice Staff,Rarity,11,Inhabitant,Lusan M,Light,Bright,Weather,Clear
35,Planet,Ozara North,Object,Battle Shovel,Rarity,2,Inhabitant,Pampan F,Light,Ozaran sun,Weather,Clear
36,Planet,Ozara South,Object,Cristallian Ray Gun,Rarity,33,Inhabitant,Ozaran F,Light,Noonlight,Weather,Desert dust
37,Planet,Ozara South,Object,SST Fishing Pole,Rarity,30,Inhabitant,Ozaran F,Light,Bright,Weather,Clear
38,Planet,Ozara South,Object,Ozaran Bone Axe,Rarity,6,Inhabitant,Zandoan M,Light,Noonlight,Weather,Clear
39,Planet,Ozara North,Object,Golden Hammer,Rarity,3,Inhabitant,Gredican M,Light,Clear,Weather,Clear
40,Planet,Ozara North,Object,Royal Ozaran Bow,Rarity,22,Inhabitant,Ozaran M,Light,Ozaran sun,Weather,Clear
41,Planet,Ozara North,Object,The Eternal Torch,Rarity,4,Inhabitant,Minasan M,Light,Bright,Weather,Clear
42,Planet,Ozara North,Object,Kitan Ice Staff,Rarity,11,Inhabitant,Ozaran M,Light,Bright,Weather,Clear
43,Planet,Ozara North,Object,Kitan Ice Staff,Rarity,11,Inhabitant,Sindarin F,Light,Clear,Weather,Desert dust
44,Planet,Ozara South,Object,Ice Cleaver,Rarity,8,Inhabitant,Ozaran M,Light,Noonlight,Weather,Desert winds
45,Planet,Ozara North,Object,Ancient Lusan Trident,Rarity,7,Inhabitant,Cruthan F,Light,Noonlight,Weather,Clear
46,Planet,Ozara South,Object,Ice Cleaver,Rarity,8,Inhabitant,Gredican F,Light,Noonlight,Weather,Desert winds
47,Planet,Ozara South,Object,Battle Shovel,Rarity,2,Inhabitant,Cristallian M,Light,Clear,Weather,Desert dust
48,Planet,Ozara South,Object,Cruthan Blaster,Rarity,31,Inhabitant,Ozaran M,Light,Clear,Weather,Clear
49,Planet,Ozara South,Object,Sindarin Fire Staff,Rarity,15,Inhabitant,Gredican M,Light,Ozaran sun,Weather,Clear
50,Planet,Ozara North,Object,Minasan Ore Sword,Rarity,23,Inhabitant,Ozaran F,Light,Bright,Weather,Clear
51,Planet,Ozara North,Object,Minasan Bow,Rarity,18,Inhabitant,Cristallian M,Light,Bright,Weather,Clear
52,Planet,Ozara South,Object,Gredican Sword,Rarity,28,Inhabitant,Zandoan F,Light,Clear,Weather,Clear
53,Planet,Ozara South,Object,Ancient Lusan Trident,Rarity,7,Inhabitant,Sindarin F,Light,Noonlight,Weather,Desert dust
54,Planet,Ozara North,Object,Minasan Bow,Rarity,18,Inhabitant,Gredican M,Light,Clear,Weather,Desert dust
55,Planet,Ozara North,Object,Lusan Water Staff,Rarity,10,Inhabitant,Sindarin M,Light,Bright,Weather,Clear
56,Planet,Ozara South,Object,Sindarin Fire Staff,Rarity,15,Inhabitant,Kitan M,Light,Noonlight,Weather,Clear
57,Planet,Ozara South,Object,Cruthan Death Mace,Rarity,5,Inhabitant,Cruthan M,Light,Clear,Weather,Clear
58,Planet,Ozara South,Object,Minasan Bow,Rarity,18,Inhabitant,Pampan M,Light,Noonlight,Weather,Clear
59,Planet,Ozara North,Object,Minasan Bow,Rarity,18,Inhabitant,Ozaran M,Light,Ozaran sun,Weather,Clear
60,Planet,Ozara South,Object,Kitan Ice Bow,Rarity,19,Inhabitant,Cristallian F,Light,Noonlight,Weather,Clear
61,Planet,Ozara North,Object,Battle Shovel,Rarity,2,Inhabitant,Zandoan M,Light,Bright,Weather,Clear
62,Planet,Ozara North,Object,Gredican Power Staff,Rarity,17,Inhabitant,Cruthan M,Light,Noonlight,Weather,Desert dust
63,Planet,Ozara North,Object,Cristallian Bow,Rarity,21,Inhabitant,Gredican M,Light,Ozaran sun,Weather,Desert dust
64,Planet,Ozara South,Object,Battle Shovel,Rarity,2,Inhabitant,Pampan F,Light,Ozaran sun,Weather,Clear
65,Planet,Ozara North,Object,Ozaran Bone Axe,Rarity,6,Inhabitant,Zandoan F,Light,Noonlight,Weather,Clear
66,Planet,Ozara North,Object,Battle Shovel,Rarity,2,Inhabitant,Kitan F,Light,Bright,Weather,Desert dust
67,Planet,Ozara South,Object,Battle Shovel,Rarity,2,Inhabitant,Kitan M,Light,Clear,Weather,Desert dust
68,Planet,Ozara North,Object,Ozaran Bone Axe,Rarity,6,Inhabitant,Pampan M,Light,Ozaran sun,Weather,Desert dust
69,Planet,Ozara North,Object,Cristallian Sword,Rarity,29,Inhabitant,Ozaran F,Light,Noonlight,Weather,Clear
70,Planet,Ozara South,Object,Pampan Grass Staff,Rarity,14,Inhabitant,Cruthan M,Light,Clear,Weather,Clear
71,Planet,Ozara South,Object,Ice Cleaver,Rarity,8,Inhabitant,Gredican M,Light,Noonlight,Weather,Desert dust
72,Planet,Ozara South,Object,Battle Shovel,Rarity,2,Inhabitant,Ozaran M,Light,Ozaran sun,Weather,Clear
73,Planet,Ozara South,Object,Battle Shovel,Rarity,2,Inhabitant,Gredican M,Light,Ozaran sun,Weather,Clear
74,Planet,Ozara South,Object,Cristallian Bow,Rarity,21,Inhabitant,Lusan F,Light,Clear,Weather,Clear
75,Planet,Ozara South,Object,The Eternal Torch,Rarity,4,Inhabitant,Minasan F,Light,Noonlight,Weather,Clear
76,Planet,Ozara South,Object,Minasan Bow,Rarity,18,Inhabitant,Cristallian M,Light,Ozaran sun,Weather,Clear
77,Planet,Ozara North,Object,Ozaran Blaster,Rarity,34,Inhabitant,Gredican M,Light,Clear,Weather,Clear
78,Planet,Ozara North,Object,Ice Cleaver,Rarity,8,Inhabitant,Sindarin M,Light,Bright,Weather,Clear
79,Planet,Ozara South,Object,Staff of Zando,Rarity,16,Inhabitant,Kitan M,Light,Noonlight,Weather,Desert dust
80,Planet,Ozara South,Object,SST Fishing Pole,Rarity,30,Inhabitant,Zandoan F,Light,Clear,Weather,Clear
81,Planet,Ozara North,Object,Pampan Grass Staff,Rarity,14,Inhabitant,Cruthan M,Light,Noonlight,Weather,Clear
82,Planet,Ozara North,Object,Ice Cleaver,Rarity,8,Inhabitant,Cristallian F,Light,Clear,Weather,Desert dust
83,Planet,Ozara North,Object,Ice Cleaver,Rarity,8,Inhabitant,Ozaran M,Light,Noonlight,Weather,Clear
84,Planet,Ozara South,Object,Battle Axe,Rarity,1,Inhabitant,Ozaran F,Light,Ozaran sun,Weather,Clear
85,Planet,Ozara South,Object,Royal Ozaran Bow,Rarity,22,Inhabitant,Kitan F,Light,Ozaran sun,Weather,Clear
86,Planet,Ozara South,Object,Sindarin Fire Staff,Rarity,15,Inhabitant,Cruthan M,Light,Noonlight,Weather,Clear
87,Planet,Ozara North,Object,Golden Hammer,Rarity,3,Inhabitant,Cruthan M,Light,Clear,Weather,Clear
88,Planet,Ozara North,Object,Sindarin Fire Staff,Rarity,15,Inhabitant,Ozaran F,Light,Clear,Weather,Clear
89,Planet,Ozara North,Object,Pampan Grass Staff,Rarity,14,Inhabitant,Sindarin F,Light,Noonlight,Weather,Desert winds
90,Planet,Ozara North,Object,Gredican Power Staff,Rarity,17,Inhabitant,Ozaran M,Light,Noonlight,Weather,Clear
91,Planet,Ozara North,Object,Sindarin Fire Staff,Rarity,15,Inhabitant,Lusan F,Light,Ozaran sun,Weather,Clear
92,Planet,Ozara South,Object,Staff of Zando,Rarity,16,Inhabitant,Sindarin M,Light,Bright,Weather,Desert dust
93,Planet,Ozara North,Object,Gredican Power Staff,Rarity,17,Inhabitant,Zandoan M,Light,Noonlight,Weather,Clear
94,Planet,Ozara South,Object,Cruthan Death Mace,Rarity,5,Inhabitant,Cruthan M,Light,Ozaran sun,Weather,Desert dust
95,Planet,Ozara South,Object,Minasan Ore Sword,Rarity,23,Inhabitant,Cristallian F,Light,Noonlight,Weather,Clear
96,Planet,Ozara South,Object,Ozaran Sand Staff,Rarity,13,Inhabitant,Sindarin F,Light,Noonlight,Weather,Clear
97,Planet,Ozara South,Object,Battle Shovel,Rarity,2,Inhabitant,Zandoan F,Light,Noonlight,Weather,Desert dust
98,Planet,Ozara South,Object,Ancient Lusan Trident,Rarity,7,Inhabitant,Zandoan M,Light,Bright,Weather,Clear
99,Planet,Ozara South,Object,Minasan Bow,Rarity,18,Inhabitant,Minasan M,Light,Bright,Weather,Clear
100,Planet,Ozara North,Object,The Eternal Torch,Rarity,4,Inhabitant,Lusan F,Light,Clear,Weather,Clear
101,Planet,Ozara South,Object,Cruthan Death Mace,Rarity,5,Inhabitant,Minasan M,Light,Ozaran sun,Weather,Clear
102,Planet,Ozara North,Object,Minasan Ore Staff,Rarity,9,Inhabitant,Sindarin F,Light,Noonlight,Weather,Clear
103,Planet,Ozara South,Object,Golden Hammer,Rarity,3,Inhabitant,Sindarin F,Light,Clear,Weather,Desert dust
104,Planet,Ozara North,Object,Kitan Ice Bow,Rarity,19,Inhabitant,Kitan M,Light,Bright,Weather,Clear
105,Planet,Ozara South,Object,Battle Shovel,Rarity,2,Inhabitant,Sindarin M,Light,Noonlight,Weather,Clear
106,Planet,Ozara South,Object,Cristallian Staff,Rarity,12,Inhabitant,Kitan M,Light,Clear,Weather,Clear
107,Planet,Ozara North,Object,Ozaran Bone Axe,Rarity,6,Inhabitant,Zandoan M,Light,Ozaran sun,Weather,Desert winds
108,Planet,Ozara North,Object,Minasan Ore Staff,Rarity,9,Inhabitant,Lusan F,Light,Bright,Weather,Clear
109,Planet,Ozara South,Object,Gredican Sword,Rarity,28,Inhabitant,Cristallian F,Light,Bright,Weather,Desert dust
110,Planet,Ozara South,Object,Minasan Ore Staff,Rarity,9,Inhabitant,Minasan F,Light,Bright,Weather,Desert dust
111,Planet,Ozara South,Object,Ancient Lusan Trident,Rarity,7,Inhabitant,Ozaran F,Light,Bright,Weather,Clear
112,Planet,Ozara North,Object,Battle Shovel,Rarity,2,Inhabitant,Gredican F,Light,Ozaran sun,Weather,Desert dust
113,Planet,Ozara South,Object,Cristallian Staff,Rarity,12,Inhabitant,Gredican M,Light,Ozaran sun,Weather,Clear
114,Planet,Ozara North,Object,Sindarin Fire Bow,Rarity,20,Inhabitant,Minasan M,Light,Ozaran sun,Weather,Clear
115,Planet,Ozara South,Object,Ancient Lusan Trident,Rarity,7,Inhabitant,Ozaran M,Light,Clear,Weather,Clear
116,Planet,Ozara North,Object,Minasan Bow,Rarity,18,Inhabitant,Kitan F,Light,Ozaran sun,Weather,Desert dust
117,Planet,Ozara South,Object,Golden Hammer,Rarity,3,Inhabitant,Kitan F,Light,Ozaran sun,Weather,Clear
118,Planet,Ozara South,Object,Quartz Ray Gun,Rarity,32,Inhabitant,Ozaran F,Light,Ozaran sun,Weather,Clear
119,Planet,Ozara North,Object,Kitan Ice Sword,Rarity,25,Inhabitant,Kitan M,Light,Clear,Weather,Clear
120,Planet,Ozara South,Object,Battle Axe,Rarity,1,Inhabitant,Cruthan M,Light,Clear,Weather,Desert dust
121,Planet,Ozara South,Object,Battle Axe,Rarity,1,Inhabitant,Zandoan F,Light,Noonlight,Weather,Desert dust
122,Planet,Ozara South,Object,Gredican Power Staff,Rarity,17,Inhabitant,Ozaran F,Light,Bright,Weather,Desert dust
123,Planet,Ozara South,Object,Golden Hammer,Rarity,3,Inhabitant,Zandoan M,Light,Ozaran sun,Weather,Clear
124,Planet,Ozara South,Object,Golden Hammer,Rarity,3,Inhabitant,Kitan M,Light,Bright,Weather,Clear
125,Planet,Ozara North,Object,Royal Ozaran Bow,Rarity,22,Inhabitant,Kitan F,Light,Clear,Weather,Desert winds
126,Planet,Ozara North,Object,Golden Hammer,Rarity,3,Inhabitant,Pampan M,Light,Noonlight,Weather,Clear
127,Planet,Ozara North,Object,Staff of Zando,Rarity,16,Inhabitant,Kitan F,Light,Bright,Weather,Clear
128,Planet,Ozara South,Object,Gredican Power Staff,Rarity,17,Inhabitant,Ozaran F,Light,Clear,Weather,Clear
