id,attributes/0/trait_type,attributes/0/value,attributes/1/trait_type,attributes/1/value,attributes/2/trait_type,attributes/2/value
1,Planet,Ozara South,Rarity,3,Inhabitant,Lusan M
2,Planet,Ozara South,Rarity,7,Inhabitant,Ozaran M
3,Planet,Ozara North,Rarity,27,Inhabitant,Lusan M
4,Planet,Ozara North,Rarity,23,Inhabitant,Cristallian M
5,Planet,Ozara South,Rarity,5,Inhabitant,Sindarin F
6,Planet,Ozara South,Rarity,26,Inhabitant,Cristallian F
7,Planet,Ozara North,Rarity,18,Inhabitant,Minasan F
8,Planet,Ozara North,Rarity,20,Inhabitant,Gredican F
9,Planet,Ozara North,Rarity,2,Inhabitant,Minasan F
10,Planet,Ozara South,Rarity,24,Inhabitant,Zandoan F
11,Planet,Ozara North,Rarity,10,Inhabitant,Cruthan F
12,Planet,Ozara North,Rarity,5,Inhabitant,Lusan M
13,Planet,Ozara South,Rarity,18,Inhabitant,Gredican F
14,Planet,Ozara South,Rarity,4,Inhabitant,Lusan F
15,Planet,Ozara South,Rarity,4,Inhabitant,Gredican M
16,Planet,Ozara South,Rarity,40,Inhabitant,Zandoan M
17,Planet,Ozara South,Rarity,28,Inhabitant,Minasan M
18,Planet,Ozara South,Rarity,17,Inhabitant,Lusan M
19,Planet,Ozara South,Rarity,39,Inhabitant,Pampan F
20,Planet,Ozara North,Rarity,9,Inhabitant,Kitan F
21,Planet,Ozara North,Rarity,6,Inhabitant,Kitan F
22,Planet,Ozara South,Rarity,11,Inhabitant,Gredican F
23,Planet,Ozara South,Rarity,1,Inhabitant,Cristallian M
24,Planet,Ozara North,Rarity,16,Inhabitant,Zandoan M
25,Planet,Ozara South,Rarity,12,Inhabitant,Sindarin F
26,Planet,Ozara South,Rarity,7,Inhabitant,Cristallian M
27,Planet,Ozara North,Rarity,3,Inhabitant,Pampan F
28,Planet,Ozara South,Rarity,33,Inhabitant,Cristallian M
29,Planet,Ozara North,Rarity,7,Inhabitant,Ozaran M
30,Planet,Ozara South,Rarity,6,Inhabitant,Pampan F
31,Planet,Ozara North,Rarity,13,Inhabitant,Lusan M
32,Planet,Ozara South,Rarity,5,Inhabitant,Minasan M
33,Planet,Ozara North,Rarity,22,Inhabitant,Sindarin F
34,Planet,Ozara North,Rarity,11,Inhabitant,Lusan M
35,Planet,Ozara North,Rarity,2,Inhabitant,Pampan F
36,Planet,Ozara South,Rarity,33,Inhabitant,Ozaran F
37,Planet,Ozara South,Rarity,30,Inhabitant,Ozaran F
38,Planet,Ozara South,Rarity,6,Inhabitant,Zandoan M
39,Planet,Ozara North,Rarity,3,Inhabitant,Gredican M
40,Planet,Ozara North,Rarity,22,Inhabitant,Ozaran M
41,Planet,Ozara North,Rarity,4,Inhabitant,Minasan M
